iter	Passed	Remaining
445	3640	4521
446	3646	4511
447	3655	4503
448	3661	4493
449	3669	4484
450	3675	4474
451	3682	4464
452	3689	4454
453	3696	4445
454	3704	4436
455	3711	4427
456	3718	4418
457	3725	4408
458	3731	4398
459	3738	4388
460	3744	4378
461	3751	4368
462	3758	4358
463	3764	4348
464	3770	4338
465	3777	4328
466	3784	4319
467	3791	4309
468	3797	4299
469	3803	4289
470	3809	4278
471	3816	4269
472	3823	4259
473	3830	4250
474	3836	4240
475	3843	4230
476	3851	4222
477	3858	4213
478	3867	4206
479	3875	4198
480	3883	4189
481	3889	4180
482	3896	4170
483	3902	4160
484	3908	4150
485	3915	4140
486	3921	4131
487	3933	4126
488	3945	4122
489	3954	4115
490	3963	4108
491	3972	4101
492	3979	4092
493	3988	4085
494	3997	4077
495	4005	4070
496	4014	4062
497	4022	4054
498	4030	4047
499	4038	4038
500	4050	4034
501	4057	4025
502	4064	4016
503	4072	4007
504	4135	4053
505	4144	4046
506	4163	4048
507	4171	4039
508	4179	4032
509	4187	4022
510	4194	4013
511	4200	4003
512	4207	3994
513	4213	3983
514	4219	3973
515	4228	3965
516	4235	3957
517	4242	3947
518	4248	3937
519	4255	3928
520	4261	3918
521	4267	3907
522	4274	3898
523	4280	3887
524	4285	3877
525	4292	3868
526	4298	3858
527	4306	3849
528	4312	3839
529	4317	3829
530	4324	3819
531	4330	3809
532	4336	3799
533	4342	3789
534	4347	3779
535	4354	3769
536	4359	3759
537	4365	3748
538	4373	3740
539	4379	3730
540	4387	3722
541	4394	3713
542	4403	3706
543	4410	3697
544	4417	3688
545	4424	3679
546	4432	3671
547	4441	3663
548	4448	3654
549	4456	3646
550	4464	3637
551	4472	3629
552	4479	3620
553	4487	3612
554	4495	3604
555	4502	3595
556	4510	3587
557	4518	3579
558	4525	3570
559	4533	3562
560	4541	3553
561	4550	3546
562	4558	3538
563	4568	3531
564	4576	3523
565	4584	3515
566	4591	3506
567	4601	3499
568	4609	3491
569	4616	3482
570	4623	3473
571	4630	3464
572	4637	3455
573	4646	3448
574	4656	3441
575	4666	3435
576	4673	3426
577	4681	3417
578	4687	3408
579	4694	3399
580	4704	3392
581	4710	3383
582	4717	3374
583	4723	3364
584	4729	3355
585	4736	3345
586	4741	3336
587	4747	3326
588	4754	3317
589	4760	3307
590	4767	3299
591	4773	3289
592	4779	3280
593	4785	3270
594	4791	3261
595	4798	3252
596	4804	3243
597	4810	3233
598	4816	3224
599	4822	3215
600	4829	3206
601	4835	3196
602	4841	3187
603	4847	3178
604	4853	3168
605	4859	3159
606	4866	3150
607	4876	3144
608	4884	3136
609	4891	3127
610	4898	3118
611	4904	3109
612	4910	3100
613	4916	3090
614	4922	3081
615	4928	3072
616	4934	3063
617	4941	3054
618	4947	3045
619	4953	3035
620	4959	3026
621	4965	3017
622	4971	3008
623	4977	2999
624	4984	2990
625	4990	2981
626	4996	2972
627	5002	2963
628	5008	2954
629	5014	2945
630	5020	2935
631	5027	2927
632	5033	2918
633	5040	2909
634	5049	2902
635	5055	2893
636	5063	2885
637	5069	2876
638	5076	2868
639	5082	2858
640	5090	2850
641	5095	2841
642	5101	2832
643	5108	2824
644	5114	2814
645	5120	2806
646	5126	2796
647	5132	2788
648	5139	2779
649	5145	2770
650	5151	2761
651	5157	2752
652	5164	2744
653	5171	2735
654	5177	2727
655	5183	2718
656	5191	2710
657	5200	2702
658	5209	2695
659	5215	2686
660	5222	2678
661	5227	2669
662	5233	2660
663	5240	2652
664	5246	2643
665	5253	2634
666	5259	2625
667	5265	2616
668	5273	2609
669	5280	2600
670	5287	2592
671	5293	2583
672	5300	2575
673	5306	2566
674	5311	2557
675	5318	2548
676	5324	2540
677	5330	2531
678	5336	2522
679	5342	2514
680	5348	2505
681	5355	2496
682	5361	2488
683	5367	2479
684	5373	2471
685	5380	2462
686	5387	2454
687	5393	2445
688	5400	2437
689	5406	2429
690	5412	2420
691	5419	2411
692	5426	2403
693	5432	2395
694	5438	2386
695	5444	2378
696	5452	2370
697	5459	2361
698	5465	2353
699	5472	2345
700	5478	2336
701	5486	2329
702	5492	2320
703	5500	2312
704	5508	2304
705	5515	2296
706	5523	2289
707	5531	2281
708	5537	2272
709	5543	2264
710	5549	2255
711	5555	2246
712	5561	2238
713	5567	2230
714	5574	2221
715	5580	2213
716	5586	2204
717	5592	2196
718	5598	2187
719	5604	2179
720	5610	2171
721	5616	2162
722	5622	2154
723	5629	2146
724	5635	2137
725	5641	2129
726	5647	2120
727	5654	2112
728	5660	2104
729	5665	2095
730	5672	2087
731	5680	2079
732	5686	2071
733	5692	2062
734	5699	2054
735	5705	2046
736	5713	2039
737	5720	2030
738	5727	2022
739	5735	2015
740	5741	2006
741	5748	1998
742	5753	1990
743	5760	1982
744	5765	1973
745	5772	1965
746	5778	1957
747	5784	1948
748	5790	1940
749	5795	1931
750	5801	1923
751	5807	1915
752	5813	1906
753	5819	1898
754	5825	1890
755	5831	1882
756	5837	1873
757	5844	1865
758	5850	1857
759	5856	1849
760	5862	1841
761	5869	1833
762	5876	1825
763	5883	1817
764	5889	1809
765	5896	1801
766	5905	1793
767	5914	1786
768	5920	1778
769	5928	1770
770	5934	1762
771	5941	1754
772	5947	1746
773	5953	1738
774	5960	1730
775	5966	1722
776	5972	1714
777	5978	1705
778	5984	1697
779	5990	1689
780	5995	1681
781	6001	1673
782	6008	1665
783	6013	1656
784	6020	1649
785	6027	1640
786	6033	1632
787	6039	1624
788	6045	1616
789	6051	1608
790	6059	1601
791	6065	1592
792	6074	1585
793	6080	1577
794	6086	1569
795	6093	1561
796	6099	1553
797	6105	1545
798	6113	1537
799	6120	1530
800	6127	1522
801	6134	1514
802	6140	1506
803	6147	1498
804	6154	1490
805	6161	1482
806	6168	1475
807	6175	1467
808	6182	1459
809	6189	1451
810	6195	1443
811	6201	1435
812	6207	1427
813	6213	1419
814	6219	1411
815	6225	1403
816	6231	1395
817	6237	1387
818	6243	1379
819	6249	1371
820	6254	1363
821	6261	1355
822	6267	1347
823	6273	1339
824	6280	1332
825	6286	1324
826	6292	1316
827	6299	1308
828	6305	1300
829	6311	1292
830	6317	1284
831	6323	1276
832	6329	1268
833	6335	1261
834	6341	1253
835	6347	1245
836	6354	1237
837	6360	1229
838	6367	1221
839	6374	1214
840	6383	1206
841	6390	1199
842	6397	1191
843	6404	1183
844	6411	1176
845	6418	1168
846	6425	1160
847	6434	1153
848	6441	1145
849	6449	1138
850	6456	1130
851	6465	1123
852	6472	1115
853	6481	1108
854	6489	1100
855	6496	1092
856	6504	1085
857	6512	1077
858	6518	1069
859	6538	1064
860	6561	1059
861	6571	1052
862	6585	1045
863	6600	1039
864	6611	1031
865	6618	1024
866	6630	1017
867	6646	1010
868	6657	1003
869	6668	996
870	6681	989
871	6696	982
872	6707	975
873	6718	968
874	6729	961
875	6740	954
876	6751	946
877	6762	939
878	6769	931
879	6777	924
880	6784	916
881	6792	908
882	6800	901
883	6809	893
884	6816	885
885	6823	877
886	6829	870
887	6836	862
888	6843	854
889	6850	846
890	6860	839
891	6867	831
892	6877	824
893	6888	816
894	6895	809
895	6904	801
896	6911	793
897	6920	786
898	6927	778
899	6936	770
900	6943	762
901	6951	755
902	6958	747
903	6965	739
904	6973	731
905	6979	724
906	6988	716
907	6995	708
908	7004	701
909	7011	693
910	7018	685
911	7024	677
912	7031	670
913	7038	662
914	7046	654
915	7055	646
916	7062	639
917	7069	631
918	7076	623
919	7084	616
920	7090	608
921	7097	600
922	7104	592
923	7111	584
924	7120	577
925	7128	569
926	7140	562
927	7148	554
928	7155	546
929	7162	539
930	7168	531
931	7175	523
932	7183	515
933	7191	508
934	7200	500
935	7207	492
936	7214	485
937	7221	477
938	7227	469
939	7235	461
940	7243	454
941	7250	446
942	7256	438
943	7262	430
944	7268	423
945	7274	415
946	7290	408
947	7302	400
948	7312	392
949	7319	385
950	7328	377
951	7335	369
952	7344	362
953	7353	354
954	7364	346
955	7372	339
956	7379	331
957	7386	323
958	7393	316
959	7399	308
960	7405	300
961	7412	292
962	7420	285
963	7439	277
964	7451	270
965	7462	262
966	7475	255
967	7488	247
968	7498	239
969	7506	232
970	7513	224
971	7520	216
972	7530	208
973	7537	201
974	7545	193
975	7552	185
976	7560	177
977	7566	170
978	7573	162
979	7579	154
980	7585	146
981	7593	139
982	7599	131
983	7605	123
984	7612	115
985	7619	108
986	7625	100
987	7631	92
988	7639	84
989	7645	77
990	7651	69
991	7658	61
992	7664	54
993	7671	46
994	7678	38
995	7684	30
996	7692	23
997	7698	15
998	7704	7
999	7710	0
